Strain,Experiment,%wGFPpucta.per.GFPpositive,%wGFPpuncta.per.cell,Condition
YDJ5501,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.08397,0.03284,outgrowth
YDJ5502,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.02083,0.00915,outgrowth
YDJ5520,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.08642,0.0359,outgrowth
YDJ5530,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.19008,0.07325,outgrowth
YDJ5531,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.08235,0.03365,outgrowth
YDJ5531,"20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2, biorep2",0.11667,0.09091,outgrowth
YDJ5531,"20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2, biorep3",0.0292,0.02424,outgrowth
YDJ6616,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0,0,outgrowth
YDJ6617,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.07273,0.04,outgrowth
YDJ6618,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0.06944,0.03731,outgrowth
YDJ6619,20200706_Trial2/20200708_24hr_outgrowth_SD-URA-LEU_trial2,0,0,outgrowth
YDJ5500,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.2,0.165,pre-induction
YDJ5501,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.115,0.058,pre-induction
YDJ5502,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.162,0.062,pre-induction
YDJ5519,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.193,0.067,pre-induction
YDJ5520,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.154,0.122,pre-induction
YDJ5530,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.255,0.229,pre-induction
YDJ5531,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.025,0.016,pre-induction
YDJ5531,"20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU, biorep2",0.075,0.032,pre-induction
YDJ6615,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0,0,pre-induction
YDJ6616,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.014,0.007,pre-induction
YDJ6617,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.217,0.168,pre-induction
YDJ6618,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0.042,0.021,pre-induction
YDJ6619,20200706_Trial2/20200707_7hr_earlylog_SD-URA-LEU,0,0,pre-induction
YDJ5500,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.2973,0.10209,pre-induction
YDJ5501,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.13095,0.03986,pre-induction
YDJ5502,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.17105,0.04971,pre-induction
YDJ5519,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.17742,0.10645,pre-induction
YDJ5520,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.19079,0.05124,pre-induction
YDJ5530,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.25,0.14154,pre-induction
YDJ5531,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.04065,0.01608,pre-induction
