Uniprot ID,Gene Name,log abs.LFQ AgWTD06 Corrected,log abs.LFQ AgWTD17 Corrected,
G5EE09;Q8I4B4;Q9U1P4;B3GWC3,ccr-4,4.9597234,5.565735759,
G5EE48,ttr-50,5.590797868,5.866440806,
G5EE74,nud-1,4.983625987,5.482529714,
G5EEA8,nex-1,4.346001718,4.969490778,
G5EEF0;G5EBW6,lea-1,3.715283632,3.820388243,
Q8MNV0-2;Q8MNV0;G5EEF8;Q8MNV0-3,spas-1,4.023716355,4.106797792,
G5EEI8,chp-1,4.747861307,5.553417768,
G5EEM5,zyg-9,5.334804147,5.365145623,
G5EEN1;G5ECI8;B1V8K6,fars-2,3.953108074,5.737717212,
G5EFK5;G5EES6,ufd-3,4.200269876,4.49916777,
G5EES9,txl,4.61539128,5.777074706,
G5EET2,dut-1,5.776063489,6.676155608,
Q5CZ43;Q6A4L2;G5EEV2,trr-1,3.475180714,4.077294171,
G5EEY5;Q565A2,pbrm-1,5.098422995,5.729651336,
G5EF05,,5.251463464,5.413040107,
G5EF26,,4.232064972,4.4494564,
G5EF77,sars-2,4.572038388,5.187447564,
G5EF87,swsn-1,5.989445386,6.338816684,
G5EFB5,cpn-1,5.593508938,6.985509088,
G5EFC1,rab-8,4.66025552,6.745671788,
G5EFD4,hmt-1,4.302153389,4.835328642,
G5EFI4,lec-5,6.100888764,6.484688164,
G5EFJ0;G5EGS3;B3GWD7;Q5FC31,klp-12,4.373982956,4.563546688,
G5EFJ4,capg-1,4.312694216,5.161520255,
G5EFJ5,,4.267427821,4.841282461,
G5EFK4,arf-3,5.121033184,6.363021087,
G5EFM0,mdf-1,4.696772612,4.767859336,
G5EG13,dhs-12,5.26366446,5.867586072,
G5EG18,crn-2,4.704364601,6.020826861,
G5EG26,R151.8A,3.985549214,5.731737307,
G5EG83;Q8MQ04;G5EC43,zen-4,4.255360708,5.534191929,
G5EGB1,lec-2,5.852282917,6.964195181,
G5EGB3,ragc-1,6.129924275,6.143000827,
G5EGK8,let-92,5.946859913,5.993345826,
G5EGL2;G2HK05,,5.940268401,6.516770307,
G5EGU1;Q8T3G5,egl-30,5.021025493,5.482026717,
O01422,csn-2,5.79259628,5.945725881,
O01427,air-2,5.059288872,5.637022759,
O01504,rpa-2,6.39893671,7.0108213,
O01541,aars-2,6.088158396,6.878752761,
O01542,cpn-3,5.642031844,6.573320632,
O01576,npp-11,4.904870609,5.185026163,
O01592;Q86NC6,cysl-3,4.773643557,6.604502213,
O01602;Q86NC2,nuo-2,5.925329592,6.248152903,
O01615,T19H12.2,5.735748045,7.21908059,
O01683,hmg-3,4.767095864,4.910855305,
O01685;Q86GU3,,5.498410384,5.578029864,
O01692,rps-17,6.395668968,7.142675899,
O01780,,6.77553144,7.596220799,
O01789;Q2A957,him-1,5.125135452,5.522668793,
O01802,rpl-7,7.14320976,7.662176323,
O01803,rab-11.1,4.557596382,6.066970209,
O01806,,5.744848038,6.000334385,
O01812,lbp-6,5.418127005,5.537170137,
O01816,cytb-5.2,4.777492695,5.660206336,
O01826,,5.797217728,5.910414877,
O01868,rpl-24.1,6.244509306,6.683248611,
O01869,rps-10,5.484452531,6.960538903,
O02053,san-1,4.676136746,5.350139826,
O02089,msra-1,3.832123652,4.475678494,
O02096,cas-2,5.164475994,5.502416061,
O02115,pcn-1,4.61208652,6.671498514,
O02141,,6.366874221,6.410028719,
O02220,mrpl-34,4.37137364,4.926860598,
O02225,gln-6,4.684448514,5.793638054,
O02238,pqn-27,6.284211925,6.680970946,
O02266;G3MU66,alh-7,5.161539463,5.19365524,
O02267,,5.445458662,5.947909571,
O02325;Q2EEM4;Q2EEM3,prmt-3,5.463301253,6.033843393,
O02334;D7SFP4,pri-2,4.688485452,5.824614477,
O02482,unc-37,4.827206922,5.278243588,
O02485,ZK1073.1,4.8433724,5.488110893,
O02639,rpl-19,6.982457777,7.034248541,
O02640,mdh-2,6.291013068,7.201114559,
O02642,sucl-2,4.808029,6.044316284,
O16202,lys-7,7.104071553,7.832730894,
O16259,sti-1,5.881703577,6.221399605,
O16294,F32D1.5,5.434138705,5.826558875,
O16297,mcm-7,6.259357726,6.743675798,
O16327,irg-1,4.6714367,4.901036177,
O16466,atg-18,4.862357603,5.38553773,
O16487,,4.938386694,5.021825588,
O16520,erf-1,5.807420585,6.626623433,
O16521,hpo-19,4.2539884,5.103205825,
O16619,dhs-13,5.232179463,5.69790899,
O16628,,4.099550831,4.948844222,
O16929,symk-1,4.012329442,4.665846135,
O16999,W03F9.1,6.010139878,6.246236481,
O17070,,5.503986633,5.732647545,
O17071-2;O17071,rpt-4,6.536431433,6.785370045,
O17218;A8WIR1,rps-22,5.930404733,6.584247737,
O17345,ttr-6,5.054188039,5.679668006,
O17365,srp-2,4.70514063,5.044568007,
O17369,,5.133189595,6.595446265,
O17570,rpl-38,5.526256906,6.094571939,
O17586,pas-1,4.44662176,5.511506806,
O17606,,5.306926037,6.139191581,
O17607,ruvb-1,5.907477536,5.924260025,
O17641;P91249,col-178,5.149677186,6.564253462,
O17687,nasp-2,6.365507886,7.777772991,
O17695,hda-1,6.001488643,6.192591262,
O17730,D2023.5,5.520777077,6.054050408,
O17759,tkt-1,6.296958065,6.695158253,
O17836;Q3S1I8;B7WNA0;O17835,pyk-1,6.263970456,6.272184222,
O17839,mrpl-54,4.472884937,5.134277785,
O17891,,5.508122331,6.888825544,
O17915,ran-1,5.994223644,6.743555986,
O17921,tbb-1,7.391445298,7.975467873,
O17944;Q564S2,,4.455277069,5.573214218,
O17954;G3MU72;D3YT80,,5.68794468,6.466046817,
O18156,,5.732106481,6.219040498,
O18199,mrpl-37,3.953733408,5.092714982,
O18224,,5.816533045,7.159515416,
O18229-2;O18229,Y57G11C.3,4.406099795,6.293707878,
O18240,rps-18,7.151386839,7.470226559,
O18650,rps-19,5.255469221,6.884325579,
O44144,perm-4,7.205109374,7.991900697,
O44145,perm-2,7.456286102,7.649000202,
O44175,rfc-2,6.169083892,6.555639891,
O44406,eri-1,4.016816727,4.396146277,
O44445,snpn-1,4.114477953,5.164739765,
O44451,C04C3.3,5.587949943,6.147637907,
O44480,rpl-20,6.067478173,6.450163413,
O44499,,4.324607577,4.708753935,
O44500,,3.89720224,4.710412539,
O44501,fnta-1,4.38106862,5.65685427,
O44512,isp-1,5.411663108,6.085463098,
O44517,,5.726691648,5.868575599,
O44549,acdh-3,5.232565649,5.298976186,
O44565,lam-1,6.795617539,6.917039151,
O44781,,4.546352216,4.907894232,
O44782,vpr-1,5.305417544,6.328095861,
O44952,C34B2.6,5.290975576,5.710916638,
O44992,,5.260311024,5.551519982,
O45087,dyci-1,5.67276698,5.686595051,
O45106,ech-5,4.827824566,5.671073942,
O45159,fbxa-65,4.890308779,4.948627562,
O45218,ads-1,4.228558405,4.698613895,
O45227,,7.102550582,7.798374391,
O45244,mog-4,4.291075546,4.367487762,
O45394,,5.03602789,5.276280038,
O45398;G1K106;G1K105,,5.123870276,5.441818426,
O45418,fkb-6,6.052589778,6.117489999,
O45495,uev-1,4.896954602,6.84504558,
O45496,,5.114946801,5.467746158,
O45499,rps-26,6.14320976,6.827705554,
O45551,ife-1,4.567572916,5.604617732,
O45596,,5.746208349,6.104366426,
O45599,cbd-1,7.045785729,7.186713922,
